keys,en
item.health_potion.name,Health Potion
item.health_potion.description,Restores 30 HP.
ui.pickup.prompt,Pick up
ui.pickup.bar_full,Bag full
ui.feedback.no_effect,No effect
character.placeholder.warrior,Warrior
character.placeholder.wizard,Wizard
character.placeholder.rogue,Rogue
object.chest_wooden.name,Wooden Chest
object.chest_wooden.description,A sturdy wooden chest.
object.chest_iron.name,Iron Chest
object.chest_iron.description,A reinforced iron chest.
object.door_forest.name,Forest Door
object.door_forest.description,A weathered wooden door blocking the path.
object.door_forest.locked,It won't budge. A lever must control it.
object.door_forest.partial_locked,Some levers pulled… but not all of them.
object.lever_forest.name,Forest Lever
object.lever_forest.description,A wooden lever — pulling it operates a linked door.
object.door_forest_locked.name,Locked Forest Door
object.door_forest_locked.description,A heavy door bound with iron — it needs a key.
object.door_forest_locked.locked,It's locked. You need the right key.
item.key_forest.name,Forest Key
item.key_forest.description,A key found in the forest depths.
ui.loot.title_chest,Chest
ui.loot.take_all,Take All
trap.spike_step.name,Spike Trap
trap.spike_step.description,Hidden floor spikes that snap up when stepped on.
trap.spike_timed.name,Cycling Spike Trap
trap.spike_timed.description,Floor spikes that periodically extend and retract.
projectile_trap.dart_timed.name,Dart Launcher
projectile_trap.dart_timed.description,A wall-mounted mechanism that periodically fires darts.
projectile_trap.dart_plate.name,Dart Trap
projectile_trap.dart_plate.description,Stepping on the floor plate triggers a volley of darts.
projectile_trap.fireball_timed.name,Fireball Launcher
projectile_trap.fireball_timed.description,A wall-mounted device that periodically launches fireballs.
projectile_trap.poison_dart.name,Poison Dart Launcher
projectile_trap.poison_dart.description,Wall-mounted darts tipped with a virulent poison.
